# source: https://github.com/magalilemes/new-hsk-1/blob/master/hsk1.csv
characters,pinyin,meaning
午饭,wǔfàn,"lunch, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]"
西,xī,west
西边,xībiān,"west, west side, western part, to the west of"
洗,xǐ,"to wash, to bathe, to develop (photo)"
洗手间,xǐshǒujiān,"toilet, lavatory, washroom"
喜欢,xǐhuān,"to like, to be fond of"
下,xià,"down, downwards, below, lower, later, next (week etc), second (of two parts), to decline, to go down, to arrive at (a decision, conclusion etc), measure word to show the frequency of an action"
下班,xiàbān,"to finish work, to get off work"
下边,xiàbiān,"under, the underside, below"
下车,xiàchē,"to get off or out of (a bus, train, car etc)"
下次,xiàcì,next time
下课,xiàkè,"to finish class, to get out of class"
下午,xiàwǔ,"afternoon, CL:個|个[ge4], p.m."
下雨,xiàyǔ,to rain
先,xiān,"early, prior, former, in advance, first"
先生,xiānshēng,"teacher, husband, doctor (dialect), CL:位[wei4]"
现在,xiànzài,"now, at present, at the moment, modern, current, nowadays"
想,xiǎng,"to think, to believe, to suppose, to wish, to want, to miss (feel wistful about the absence of sb or sth)"
小,xiǎo,"small, tiny, few, young"
小孩儿,xiǎoháiér,erhua variant of 小孩[xiao3 hai2]
小姐,xiǎojiě,"young lady, miss, (slang) prostitute, CL:個|个[ge4],位[wei4]"
小朋友,xiǎopéngyǒu,"child, CL:個|个[ge4]"
小时,xiǎoshí,"hour, CL:個|个[ge4]"
小学,xiǎoxué,"elementary school, primary school, CL:個|个[ge4]"
小学生,xiǎoxuéshēng,"primary school student, schoolchild, CL:個|个[ge4],名[ming2]"
笑,xiào,"laugh, smile, CL:個|个[ge4]"
写,xiě,to write
谢谢,xièxiè,"to thank, thanks, thank you"
新,xīn,"new, newly, meso- (chemistry)"
新年,xīnnián,"New Year, CL:個|个[ge4]"
星期,xīngqī,"week, CL:個|个[ge4], day of the week, Sunday"
星期日,xīngqīrì,"Sunday, CL:個|个[ge4]"
星期天,xīngqītiān,"Sunday, CL:個|个[ge4]"
行,xíng,"to walk, to go, to travel, a visit, temporary, makeshift, current, in circulation, to do, to perform, capable, competent, effective, all right, OK!, will do, behavior, conduct, Taiwan pr. [xing4] for the behavior-conduct sense"
休息,xīuxī,"rest, to rest"
学,xué,"to learn, to study, to imitate, science, -ology"
学生,xuéshēng,"student, schoolchild"
学习,xuéxí,"to learn, to study"
学校,xuéxiào,"school, CL:所[suo3]"
学院,xuéyuàn,"college, educational institute, school, faculty, CL:所[suo3]"
